year,month,n_prcp,n_tmax,n_tmin,prcp_mm_sum,tmax_c_mean,tmin_c_mean,TAvg_c_mean,n_days_mo,date
2008,10,31,31,31,139.9,20.65806451612903,6.922580645161291,13.790322580645162,31,2008-10-01
2008,11,30,30,30,5.8,14.426666666666666,1.1133333333333333,7.77,30,2008-11-01
2008,12,31,31,31,0,7.148387096774194,-6.951612903225807,0.0983870967741935,31,2008-12-01
2009,1,31,31,31,0.5,9.038709677419355,-6.790322580645161,1.1241935483870968,31,2009-01-01
2009,2,28,28,28,0.8,15.189285714285715,-3.710714285714286,5.739285714285714,28,2009-02-01
2009,3,31,31,31,16.3,16.177419354838708,0.4870967741935484,8.332258064516129,31,2009-03-01
2009,4,30,30,30,93.6,19.773333333333333,4.783333333333333,12.278333333333334,30,2009-04-01
2009,5,31,31,31,74.5,24.925806451612903,11.522580645161291,18.224193548387095,31,2009-05-01
2009,6,30,30,30,97.2,31.836666666666666,17.976666666666667,24.906666666666666,30,2009-06-01
2009,7,31,31,31,34.8,32.65806451612903,18.10322580645161,25.38064516129032,31,2009-07-01
2009,8,31,31,31,107.89999999999999,31.806451612903224,17.419354838709676,24.612903225806452,31,2009-08-01
2009,9,30,30,30,36.7,25.113333333333333,12.683333333333334,18.898333333333333,30,2009-09-01
2009,10,31,31,31,69.3,15.522580645161291,4.2290322580645165,9.875806451612902,31,2009-10-01
2009,11,30,30,30,19.8,15.883333333333333,2.3733333333333335,9.128333333333334,30,2009-11-01
2009,12,31,31,31,21.4,3.1161290322580646,-7.732258064516129,-2.3080645161290323,31,2009-12-01
2010,1,31,31,31,15.5,3.829032258064516,-7.993548387096774,-2.082258064516129,31,2010-01-01
2010,2,28,28,28,22.5,4.035714285714286,-5.442857142857143,-0.7035714285714286,28,2010-02-01
2010,3,31,31,31,32.1,12.812903225806451,-0.04838709677419356,6.3822580645161295,31,2010-03-01
2010,4,30,30,30,37.8,22.45,7.06,14.754999999999999,30,2010-04-01
2010,5,31,31,31,112.7,23.383870967741935,10.474193548387097,16.929032258064517,31,2010-05-01
2010,6,30,30,30,200.3,32.2,18.91,25.555,30,2010-06-01
2010,7,31,31,31,48.2,33.55483870967742,20.696774193548386,27.125806451612902,31,2010-07-01
2010,8,31,31,31,93,34.81612903225806,19.916129032258066,27.366129032258065,31,2010-08-01
2010,9,30,30,30,13.200000000000001,30.933333333333334,14.896666666666667,22.915,30,2010-09-01
2010,10,31,31,31,2.4,24.761290322580646,7.532258064516129,16.14677419354839,31,2010-10-01
2010,11,30,30,30,53.9,13.33,-0.4766666666666667,6.426666666666667,30,2010-11-01
2010,12,31,31,31,2.8,7.041935483870968,-7.019354838709678,0.011290322580645114,31,2010-12-01
2011,1,31,31,31,6.8,5.9,-8.425806451612903,-1.2629032258064516,31,2011-01-01
2011,2,28,28,28,10.7,7.417857142857143,-7.7214285714285715,-0.15178571428571447,28,2011-02-01
2011,3,31,31,31,43,13.603225806451613,-0.23870967741935487,6.682258064516129,31,2011-03-01
2011,4,30,30,30,14.4,21.546666666666667,5.286666666666666,13.416666666666666,30,2011-04-01
2011,5,31,31,31,67.3,25.387096774193548,10.038709677419355,17.712903225806453,31,2011-05-01
2011,6,30,30,30,39.4,34.21666666666667,17.316666666666666,25.766666666666666,30,2011-06-01
2011,7,31,31,31,20.4,39.35806451612903,22.316129032258065,30.837096774193547,31,2011-07-01
2011,8,31,31,31,116.8,36.26774193548387,20.43225806451613,28.35,31,2011-08-01
2011,9,30,30,30,12.9,28.76,12.18,20.47,30,2011-09-01
2011,10,31,31,31,44,22.664516129032258,7.009677419354839,14.837096774193549,31,2011-10-01
2011,11,30,30,30,45.2,14.146666666666667,0.026666666666666665,7.086666666666667,30,2011-11-01
2011,12,31,31,31,52.1,5.325806451612904,-4.680645161290323,0.32258064516129037,31,2011-12-01
2012,1,31,31,31,0,10.212903225806452,-4.267741935483871,2.9725806451612904,31,2012-01-01
2012,2,29,29,29,20.9,9.151724137931035,-3.8172413793103446,2.667241379310345,28,2012-02-01
2012,3,31,31,31,55.8,20.761290322580646,4.470967741935484,12.616129032258064,31,2012-03-01
2012,4,30,30,30,43.8,22.89,8.62,15.754999999999999,30,2012-04-01
2012,5,31,31,31,25,30.14516129032258,12.761290322580646,21.453225806451613,31,2012-05-01
2012,6,30,30,30,53.8,34.50333333333333,18.126666666666665,26.315,30,2012-06-01
2012,7,31,31,31,66.5,38.22258064516129,21.883870967741935,30.053225806451614,31,2012-07-01
2012,8,31,31,31,62.5,33.47096774193548,16.68064516129032,25.075806451612902,31,2012-08-01
2012,9,30,30,30,27.3,29.35,12.536666666666667,20.943333333333335,30,2012-09-01
2012,10,31,31,31,47.5,20.52258064516129,4.632258064516129,12.57741935483871,31,2012-10-01
2012,11,30,30,30,28.7,17.206666666666667,-0.09000000000000004,8.558333333333334,30,2012-11-01
2012,12,31,31,31,18.3,8.009677419354839,-5.245161290322581,1.382258064516129,31,2012-12-01
2013,1,31,31,31,36.099999999999994,6.941935483870967,-6.232258064516129,0.3548387096774193,31,2013-01-01
2013,2,28,28,28,55.699999999999996,7.514285714285714,-5.303571428571429,1.1053571428571427,28,2013-02-01
2013,3,31,31,31,25.3,12.24516129032258,-2.6161290322580646,4.814516129032258,31,2013-03-01
2013,4,30,30,30,42.1,16.683333333333334,1.8133333333333335,9.248333333333333,30,2013-04-01
2013,5,31,31,31,69.2,26.23548387096774,10.35483870967742,18.295161290322582,31,2013-05-01
2013,6,30,30,30,58.1,33.306666666666665,17.473333333333333,25.39,30,2013-06-01
2013,7,31,31,31,111.19999999999999,32.883870967741935,18.60322580645161,25.743548387096773,31,2013-07-01
2013,8,31,31,31,82.9,32.08064516129032,18.941935483870967,25.511290322580646,31,2013-08-01
2013,9,30,30,30,44.5,30.96,15.743333333333334,23.351666666666667,30,2013-09-01
2013,10,31,31,31,71.5,20.796774193548387,5.783870967741936,13.290322580645162,31,2013-10-01
2013,11,30,30,30,14.799999999999999,12.290000000000001,-2.0633333333333335,5.113333333333333,30,2013-11-01
2013,12,31,31,31,30.4,5.258064516129032,-8.580645161290322,-1.6612903225806452,31,2013-12-01
2014,1,31,31,31,7.1,6.612903225806452,-8.387096774193548,-0.8870967741935484,31,2014-01-01
2014,2,28,28,28,31.1,3.6964285714285716,-8.185714285714287,-2.2446428571428574,28,2014-02-01
2014,3,31,31,31,12.899999999999999,12.551612903225806,-3.8870967741935485,4.332258064516129,31,2014-03-01
2014,4,30,30,30,10.7,20.83,3.966666666666667,12.398333333333333,30,2014-04-01
2014,5,31,31,31,62.5,27.21290322580645,9.925806451612903,18.56935483870968,31,2014-05-01
2014,6,30,30,30,168.2,30.643333333333334,16.82,23.731666666666666,30,2014-06-01
2014,7,31,31,31,80,32.08064516129032,17.9,24.990322580645163,31,2014-07-01
2014,8,31,31,31,46.4,34.17741935483871,18.816129032258065,26.496774193548386,31,2014-08-01
2014,9,30,30,30,33.8,28.506666666666668,13.233333333333333,20.87,30,2014-09-01
2014,10,31,31,31,54.4,23.77741935483871,7.435483870967742,15.606451612903227,31,2014-10-01
2014,11,30,30,30,1.5,11.503333333333334,-3.6233333333333335,3.94,30,2014-11-01
2014,12,31,31,31,37.1,5.935483870967742,-3.1516129032258062,1.3919354838709677,31,2014-12-01
2015,1,31,29,29,11.1,7.862068965517241,-6.255172413793104,0.803448275862069,31,2015-01-01
2015,2,28,28,28,20.5,7.575,-7.553571428571429,0.010714285714285827,28,2015-02-01
2015,3,31,31,31,3.5,17.46451612903226,-0.9064516129032258,8.279032258064516,31,2015-03-01
2015,4,30,30,30,58.6,21.669999999999998,5.906666666666666,13.788333333333334,30,2015-04-01
2015,5,31,31,31,232.3,22.596774193548388,10.819354838709678,16.70806451612903,31,2015-05-01
2015,6,30,30,30,51,32.96333333333333,18.533333333333335,25.748333333333335,30,2015-06-01
2015,7,31,31,31,101.6,34.4,19.70967741935484,27.05483870967742,31,2015-07-01
2015,8,31,31,31,73.4,32.81612903225806,17.774193548387096,25.295161290322582,31,2015-08-01
2015,9,30,30,30,17.3,32.096666666666664,16.983333333333334,24.54,30,2015-09-01
2015,10,31,31,31,46.7,22.887096774193548,8.64516129032258,15.766129032258064,31,2015-10-01
2015,11,30,30,30,48,15.443333333333333,1.9433333333333334,8.693333333333333,30,2015-11-01
2015,12,31,31,31,43.400000000000006,8.754838709677419,-2.0612903225806454,3.346774193548387,31,2015-12-01
2016,1,31,31,31,17.8,6.012903225806451,-5.72258064516129,0.14516129032258074,31,2016-01-01
2016,2,29,29,29,8.9,12.951724137931034,-2.3482758620689657,5.301724137931035,28,2016-02-01
2016,3,31,31,31,15.2,19.170967741935485,0.9290322580645162,10.05,31,2016-03-01
2016,4,30,30,30,154,21.593333333333334,5.336666666666667,13.465,30,2016-04-01
2016,5,31,31,31,131.6,24.064516129032256,10.7,17.38225806451613,31,2016-05-01
2016,6,30,30,30,84.1,33.41,18.45,25.93,30,2016-06-01
2016,7,31,31,31,243.2,34.49677419354839,20.441935483870967,27.469354838709677,31,2016-07-01
2016,8,31,31,31,102.4,32.380645161290325,18.664516129032258,25.52258064516129,31,2016-08-01
2016,9,30,30,30,26.1,29.903333333333332,14.98,22.441666666666666,30,2016-09-01
2016,10,31,31,31,43.4,25.635483870967743,8.380645161290323,17.008064516129032,31,2016-10-01
2016,11,30,30,30,10.1,17.926666666666666,2.2966666666666664,10.111666666666666,30,2016-11-01
2016,12,31,31,31,22.9,5.396774193548387,-8.258064516129032,-1.4306451612903226,31,2016-12-01
2017,1,31,31,31,64.3,6.167741935483871,-5.609677419354838,0.27903225806451604,31,2017-01-01
2017,2,28,28,28,0.8,15.096428571428572,-2.375,6.360714285714286,28,2017-02-01
2017,3,31,31,31,48.5,17.480645161290322,1.7258064516129032,9.603225806451613,31,2017-03-01
2017,4,30,30,30,185.70000000000002,19.91,6.263333333333334,13.086666666666666,30,2017-04-01
2017,5,31,31,31,141.9,24.732258064516127,9.287096774193548,17.00967741935484,31,2017-05-01
2017,6,30,30,30,55,33.053333333333335,17.296666666666667,25.175,30,2017-06-01
2017,7,31,31,31,32,35.48064516129032,20.36774193548387,27.924193548387098,31,2017-07-01
2017,8,31,31,31,29.9,31.46451612903226,15.490322580645161,23.47741935483871,31,2017-08-01
2017,9,30,30,30,41.4,30.246666666666666,14.523333333333333,22.385,30,2017-09-01
2017,10,31,31,31,65.8,22.690322580645162,6.345161290322581,14.51774193548387,31,2017-10-01
2017,11,30,30,30,2.1,14.383333333333333,0.07666666666666669,7.2299999999999995,30,2017-11-01
2017,12,31,31,31,0,8.435483870967742,-6.72258064516129,0.8564516129032259,31,2017-12-01
2018,1,31,31,31,4.1,6.951612903225807,-8.9,-0.9741935483870968,31,2018-01-01
2018,2,28,28,28,3.5999999999999996,7.6000000000000005,-7.9750000000000005,-0.18749999999999992,28,2018-02-01
2018,3,31,31,31,46,16.37741935483871,-1.1193548387096774,7.629032258064516,31,2018-03-01
2018,4,30,30,30,39.4,17.43,0.69,9.06,30,2018-04-01
2018,5,31,31,31,117.39999999999999,29.46451612903226,14.070967741935483,21.767741935483873,31,2018-05-01
2018,6,30,30,30,82.3,34.263333333333335,18.643333333333334,26.453333333333333,30,2018-06-01
2018,7,31,31,31,94.6,33.751612903225805,19.738709677419354,26.74516129032258,31,2018-07-01
2018,8,31,31,31,61.2,32.383870967741935,18.190322580645162,25.28709677419355,31,2018-08-01
2018,9,30,30,30,91.7,28.626666666666665,15.663333333333334,22.145,30,2018-09-01
2018,10,31,31,31,184.7,18.861290322580647,5.448387096774193,12.154838709677419,31,2018-10-01
2018,11,30,30,30,27.7,9.44,-3.066666666666667,3.1866666666666665,30,2018-11-01
2018,12,31,31,31,40.6,7.316129032258065,-4.52258064516129,1.396774193548387,31,2018-12-01
2019,1,31,31,31,27.5,6.551612903225807,-5.751612903225807,0.4,31,2019-01-01
2019,2,28,28,28,19.8,3.3214285714285716,-7.871428571428572,-2.275,28,2019-02-01
2019,3,31,31,31,34.8,10.425806451612903,-3.009677419354839,3.708064516129032,31,2019-03-01
2019,4,30,30,30,30,21.686666666666667,4.37,13.028333333333334,30,2019-04-01
2019,5,31,31,31,349.6,22.493548387096773,9.490322580645161,15.991935483870968,31,2019-05-01
2019,6,30,30,30,153.2,30.74,15.69,23.215,30,2019-06-01
2019,7,31,31,31,40.8,34.26129032258064,19.229032258064517,26.74516129032258,31,2019-07-01
2019,8,31,31,31,148.8,32.938709677419354,19.119354838709675,26.029032258064515,31,2019-08-01
2019,9,30,30,30,43.2,31.163333333333334,17.623333333333335,24.393333333333334,30,2019-09-01
2019,10,31,31,31,35,17.580645161290324,3.0161290322580645,10.298387096774194,31,2019-10-01
2019,11,30,30,30,8.7,12.556666666666667,-3.1733333333333333,4.691666666666666,30,2019-11-01
2019,12,31,31,31,37.4,9.406451612903226,-3.8741935483870966,2.7661290322580645,31,2019-12-01
